elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,hw_cache_references,l3_cache_misses
i64,bench::original_quickheap::OriginalQuickHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,2,591016.0,0.0,0.0,0.0,0.0,372.0,11489.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,0,22436597.0,0.0,0.0,0.0,0.0,25593.0,795833.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,1,22459642.0,0.0,0.0,0.0,0.0,24467.0,808886.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,2,22692315.0,0.0,0.0,0.0,0.0,24169.0,840439.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,0,864230346.0,0.0,0.0,0.0,0.0,797242.0,57093006.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,1,851284334.0,0.0,0.0,0.0,0.0,776410.0,57863191.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,2,862498522.0,0.0,0.0,0.0,0.0,772373.0,57486839.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,0,32396741528.0,0.0,0.0,0.0,0.0,21819948.0,3112368816.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,1,32600342490.0,0.0,0.0,0.0,0.0,22108498.0,3266443756.0,0.0
i64,bench::original_quickheap::OriginalQuickHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,2,32681912521.0,0.0,0.0,0.0,0.0,22214492.0,3222025532.0,0.0
i64,bench::radix_heap::RadixHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,0,374418.0,0.0,0.0,0.0,0.0,303.0,6656.0,0.0
i64,bench::radix_heap::RadixHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,1,373466.0,0.0,0.0,0.0,0.0,45.0,5988.0,0.0
i64,bench::radix_heap::RadixHeapI64,1024,bench::workloads::MonotoneConstantSize,10240,2,378253.0,0.0,0.0,0.0,0.0,83.0,6395.0,0.0
i64,bench::radix_heap::RadixHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,0,12696166.0,0.0,0.0,0.0,0.0,9404.0,675910.0,0.0
i64,bench::radix_heap::RadixHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,1,12787936.0,0.0,0.0,0.0,0.0,9867.0,689481.0,0.0
i64,bench::radix_heap::RadixHeapI64,32768,bench::workloads::MonotoneConstantSize,327680,2,12774014.0,0.0,0.0,0.0,0.0,10054.0,696905.0,0.0
i64,bench::radix_heap::RadixHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,0,448914891.0,0.0,0.0,0.0,0.0,357144.0,42851398.0,0.0
i64,bench::radix_heap::RadixHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,1,440921138.0,0.0,0.0,0.0,0.0,369668.0,43295685.0,0.0
i64,bench::radix_heap::RadixHeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,2,446331493.0,0.0,0.0,0.0,0.0,371579.0,43105598.0,0.0
i64,bench::radix_heap::RadixHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,0,15049171390.0,0.0,0.0,0.0,0.0,22349254.0,1991699225.0,0.0
i64,bench::radix_heap::RadixHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,1,15094721576.0,0.0,0.0,0.0,0.0,22083121.0,2021329894.0,0.0
i64,bench::radix_heap::RadixHeapI64,33554432,bench::workloads::MonotoneConstantSize,335544320,2,15002680297.0,0.0,0.0,0.0,0.0,21257326.0,1988961345.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,1024,bench::workloads::MonotoneConstantSize,10240,0,263270.0,0.0,0.0,0.0,0.0,688.0,4961.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,1024,bench::workloads::MonotoneConstantSize,10240,1,258002.0,0.0,0.0,0.0,0.0,64.0,2193.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,1024,bench::workloads::MonotoneConstantSize,10240,2,262698.0,0.0,0.0,0.0,0.0,105.0,2411.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,32768,bench::workloads::MonotoneConstantSize,327680,0,14352510.0,0.0,0.0,0.0,0.0,27592.0,2373423.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,32768,bench::workloads::MonotoneConstantSize,327680,1,14269744.0,0.0,0.0,0.0,0.0,26608.0,2375782.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,32768,bench::workloads::MonotoneConstantSize,327680,2,14302154.0,0.0,0.0,0.0,0.0,27286.0,2409206.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,0,894126546.0,0.0,0.0,0.0,0.0,37548798.0,114817905.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,1,946894945.0,0.0,0.0,0.0,0.0,39471277.0,117796669.0,0.0
i64,bench::boost_heap::BoostDary4HeapI64,1048576,bench::workloads::MonotoneConstantSize,10485760,2,948933918.0,0.0,0.0,0.0,0.0,39532740.0,117834354.0,0.0
