heap,graph,workload,vertices,edges,repeat,nanos
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,0,7314408259.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,1,7319101147.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/USA_graph.gr,bench_graph::DijkstraWorkload,23947347,58333344,2,7327292800.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,0,6353880639.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,1,6336938908.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/USA_graph.gr,bench_graph::PrimWorkload,23947347,58333344,2,6345748847.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,0,530866957.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,1,532083591.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CAL_graph.gr,bench_graph::DijkstraWorkload,1890815,4657742,2,531576893.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,0,462276283.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,1,462877024.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CAL_graph.gr,bench_graph::PrimWorkload,1890815,4657742,2,460122527.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,0,1991765517.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,1,1993790187.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_22_graph.gr,bench_graph::DijkstraWorkload,4194304,41312060,2,1982598706.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,0,5893830672.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,1,5857854677.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_22_graph.gr,bench_graph::PrimWorkload,4194304,41312060,2,5892217625.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,0,8882253767.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,1,8887334521.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_24_graph.gr,bench_graph::DijkstraWorkload,16777216,159734888,2,8841061862.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,0,25354295583.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,1,25294917825.0
