elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,hw_cache_references,l3_cache_misses
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::MonotoneWiggle,393216,1,76891693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::MonotoneWiggle,393216,2,76951644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::RandomWiggle,393216,0,58683231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::RandomWiggle,393216,1,58256083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",131072,bench::workloads::RandomWiggle,393216,2,58844085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::HeapSort,262144,0,52253144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::HeapSort,262144,1,52559719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::HeapSort,262144,2,52219383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::MonotoneConstantSize,2621440,0,536060738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::MonotoneConstantSize,2621440,1,536549481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::MonotoneConstantSize,2621440,2,535636725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::MonotoneWiggle,786432,0,155820927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::MonotoneWiggle,786432,1,156410002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::MonotoneWiggle,786432,2,156156236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
